10,867,763,827,469,697,823,206,770,492,544,570,495,323,143,754,320,529,45,263,744
10,823,867,770,469,145,763,827,899,320,544,495,356,349,263,754,287,228,75,492,570
10,867,763,827,469,697,823,206,770,570,492,544,495,323,143,754,320,529,45,744,326
10,307,621,143,606,399,439,263,618,141,545,438,496,8,749,228,313,101,763,529,120
10,307,621,606,439,143,545,399,618,47,263,228,8,141,496,529,749,313,302,149,20
10,307,621,143,606,399,439,263,618,545,141,8,438,496,749,526,228,313,101,763,529
26,484,226,714,788,628,4,327,764,230,62,841,76,494,144,342,534,745,869,625,638
26,714,484,841,628,788,226,62,76,4,327,764,230,342,234,144,494,454,366,373,729
26,484,226,714,788,628,764,4,230,327,144,841,62,76,494,534,342,745,869,454,625
26,373,252,614,454,517,625,142,371,226,599,4,418,360,223,474,312,195,328,213,486
26,252,614,454,373,517,142,599,4,136,195,625,226,360,544,371,312,223,330,230,534
26,373,252,614,454,142,517,371,230,625,328,418,620,155,486,226,223,312,213,366,195
28,233,11,521,508,748,687,878,55,263,501,54,14,635,870,678,149,103,344,740,524
28,233,237,11,508,687,14,73,521,878,103,748,870,678,326,742,874,501,660,344,3
28,233,521,11,55,508,687,54,263,748,501,149,878,740,14,3,163,635,103,770,524
28,237,255,84,233,521,3,242,326,400,870,344,494,40,163,96,462,120,874,501,816
28,237,255,3,14,233,326,462,84,96,874,521,344,242,494,120,71,66,816,385,870
28,255,237,84,163,233,521,120,242,3,344,326,494,400,501,870,40,96,165,66,462
59,185,549,704,325,701,676,242,543,225,899,148,289,516,258,241,428,807,706,683,545
59,185,549,704,701,325,241,148,428,242,247,225,293,676,543,899,896,595,289,516,545
59,185,549,704,325,701,289,676,225,148,242,543,899,428,258,516,241,807,247,545,706
59,356,228,336,899,221,854,287,670,466,323,192,378,295,570,70,102,293,320,697,823
59,356,336,228,899,854,221,378,466,670,323,192,70,287,293,102,320,325,468,570,697
59,356,228,221,336,899,854,192,466,287,670,570,295,323,378,697,468,428,70,366,320
